step,cer_metric,cer_metric/mean,cer_metric/std,loss,loss/mean,loss/std,lr,momentum
1,0.8554867506027222,0.8554867506027222,0.03113780719201037,2.280925750732422,2.280925750732422,0.04640497611226808,0.001,0.9
2,0.7839708924293518,0.7839708924293518,0.05339357757788426,2.1227142810821533,2.1227142810821533,0.10073285598286627,0.001,0.9
3,0.542388916015625,0.542388916015625,0.08888691398789875,1.4973721504211426,1.4973721504211426,0.22684161987875268,0.001,0.9
4,0.26373016834259033,0.26373016834259033,0.06596875118108492,0.7880467176437378,0.7880467176437378,0.15619640969230209,0.001,0.9
5,0.09887036681175232,0.09887036681175232,0.034296375910239374,0.35828447341918945,0.35828447341918945,0.08002614300825123,0.001,0.9
6,0.03559788316488266,0.03559788316488266,0.01609750803061385,0.16280150413513184,0.16280150413513184,0.038443741786244164,0.001,0.9
7,0.017277777194976807,0.017277777194976807,0.01087380395945821,0.08820201456546783,0.08820201456546783,0.022569610603426347,0.001,0.9
8,0.009701058268547058,0.009701058268547058,0.00864840082755013,0.05323387682437897,0.05323387682437897,0.01627014942273264,0.001,0.9
9,0.006716931238770485,0.006716931238770485,0.006501331227442729,0.0379607230424881,0.0379607230424881,0.013347688139969017,0.001,0.9
10,0.005669312085956335,0.005669312085956335,0.005451619356458093,0.03023993782699108,0.03023993782699108,0.013004517315164102,0.001,0.9
11,0.0045740739442408085,0.0045740739442408085,0.004902824518886556,0.02386627160012722,0.02386627160012722,0.010197013326397839,0.001,0.9
12,0.0033994708210229874,0.0033994708210229874,0.004512333959798072,0.01892686076462269,0.01892686076462269,0.011382845425404775,0.001,0.9
13,0.005312169436365366,0.005312169436365366,0.005776785544281021,0.024690978229045868,0.024690978229045868,0.01396962577410813,0.001,0.9
14,0.006312169134616852,0.006312169134616852,0.007213581823497807,0.02622058615088463,0.02622058615088463,0.01652905414615838,0.001,0.9
15,0.006767195649445057,0.006767195649445057,0.0064367793207920805,0.026463758200407028,0.026463758200407028,0.01596736681976295,0.001,0.9
16,0.005740740802139044,0.005740740802139044,0.006191674170296684,0.022021587938070297,0.022021587938070297,0.013645895323809276,0.001,0.9
17,0.004685185384005308,0.004685185384005308,0.005096504354438638,0.0167370792478323,0.0167370792478323,0.010737357313528222,0.001,0.9
18,0.004285714123398066,0.004285714123398066,0.0048247908590462445,0.01587297022342682,0.01587297022342682,0.011742941179947819,0.001,0.9
19,0.0034735449589788914,0.0034735449589788914,0.00522787083594049,0.014231250621378422,0.014231250621378422,0.014372136706353346,0.001,0.9
20,0.0032010581344366074,0.0032010581344366074,0.004094534135315748,0.01338329166173935,0.01338329166173935,0.010313361609973289,0.001,0.9
